id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts38805,Beat Bugs,SHOW,"Jay, Kumi, Crick, Buzz, and Walter are best friends who band together to explore and learn in an overgrown suburban backyard, which to them is their entire universe. Each episode of this animated series features songs by The Beatles performed by artists including Daniel Johns, Robbie Williams and Pink to tell uplifting and life-affirming stories filled with hope and melody.",2016,TV-Y,15,"['family', 'animation', 'comedy', 'fantasy']",['AU'],3.0,tt4716268,7.6,524.0,6.682,6.6
tm1077038,Chhota Bheem: Journey to Petra,MOVIE,"The king has been away to meet an old friend, but when he sends for urgent help, Bheem finds himself on an action-packed rescue mission to Egypt!",2011,G,67,['animation'],['IN'],,tt6543194,,,,
tm1064065,Black Crab,MOVIE,"In a post-apocalyptic world, six soldiers on a covert mission must transport a mysterious package across a frozen archipelago. Noomi Rapace stars.",2022,,114,"['scifi', 'thriller', 'war', 'action', 'drama']",['SE'],,tt6708668,5.6,19159.0,207.948,6.3
tm204541,Dark Waters,MOVIE,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,,120,"['action', 'drama', 'romance', 'thriller']",['EG'],,tt0049761,6.7,610.0,0.849,5.9
tm176111,The Great Magician,MOVIE,"In the years after the Revolution, China broken up into fiefdoms held by warlords, who are busy fighting each other. One warlord has imprisoned a girl and wants her to be his seventh wife, but he's too honorable to force her. The local revolutionaries wants to kill him and bring back the republic. But when a stranger returns from abroad with mastery of magic to recover the girl he loved, who is tricking whom and who will win at the end?",2011,,128,"['thriller', 'drama', 'romance', 'comedy']","['CN', 'HK']",,tt1869721,5.9,1774.0,6.144,6.1
tm446609,The Great Hack,MOVIE,"Data—arguably the world’s most valuable asset—is being weaponized to wage cultural and political wars. The dark world of data exploitation is uncovered through the unpredictable, personal journeys of players on different sides of the explosive Cambridge Analytica/Facebook data story.",2019,,114,"['documentation', 'history']",['US'],,tt9358204,7.1,22838.0,15.376,6.9
tm931330,BLACKPINK: Light Up the Sky,MOVIE,Record-shattering Korean girl band BLACKPINK tell their story —  and detail the hard fought journey of the dreams and trials behind their meteoric rise.,2020,PG-13,79,"['documentation', 'music']",['US'],,tt13058290,7.3,6427.0,10.809,8.4
tm911973,Enola Holmes,MOVIE,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",2020,PG-13,123,"['crime', 'drama', 'action']",['US'],,tt7846844,6.6,162511.0,22.461,7.3
tm1141923,The Royal Treatment,MOVIE,"Isabella runs her own salon and isn’t afraid to speak her mind, while Prince Thomas runs his own country and is about to marry for duty rather than love. When Izzy and her fellow stylists get the opportunity of a lifetime to do the hair for the royal wedding, she and Prince Thomas learn that taking control of their own destiny requires following their hearts.",2022,,96,"['romance', 'comedy', 'family']",['US'],,tt13989030,5.2,8803.0,83.831,6.747
tm814150,How I Became a Super Hero,MOVIE,"While superheroes have assimilated into Parisian society, a new drug gives super powers to mere mortals.",2020,,97,"['action', 'comedy', 'drama', 'fantasy', 'thriller']",['FR'],,tt10345590,5.8,5194.0,125.201,6.2
ts3844,Aquarius,SHOW,"In the late 1960s, a Los Angeles police sergeant with a complicated personal life starts tracking a small-time criminal and budding cult leader seeking out vulnerable women to join his “cause.” The name of that man is Charles Manson.",2015,TV-14,43,"['drama', 'thriller', 'crime', 'european']",['US'],2.0,tt3768572,7.0,12279.0,13.111,6.8
tm144557,Deliha,MOVIE,"A woman desperately seeking for a man to love. When he finally arrives, she overlooks him.",2014,PG-13,107,"['family', 'comedy', 'romance']",['TR'],,tt4003066,4.5,4315.0,5.163,5.7
